age,intrinsic_01
mood_01,intrinsic_01
big5_01,intrinsic_01
big5_07,intrinsic_01
big5_10,intrinsic_01
highpower,intrinsic_01
intrinsic_04,intrinsic_01
intrinsic_08,intrinsic_01
mcfiller1,intrinsic_01
mcfiller2,intrinsic_01
mcmost3,intrinsic_01
mcmost5,intrinsic_01
mcsome4,intrinsic_01
mcsome5,intrinsic_01
mcdv1,intrinsic_01
pate_03,intrinsic_01
stress_01,intrinsic_01
stress_02,intrinsic_01
stress_03,intrinsic_01
nfc_04,intrinsic_01
tempest1,intrinsic_01
tempest2,intrinsic_01
tempest3,intrinsic_01
lowpower,intrinsic_02
age,intrinsic_03
mood_02,intrinsic_04
big5_02,intrinsic_04
intrinsic_06,intrinsic_04
mcfiller2,intrinsic_04
mcfiller3,intrinsic_04
mcsome3,intrinsic_04
intrinsic_01,intrinsic_08
intrinsic_03,intrinsic_08
intrinsic_13,intrinsic_08
intrinsic_15,intrinsic_08
mcmost4,intrinsic_08
nfc_01,intrinsic_08
pate_01,intrinsic_10
big5_08,intrinsic_13
mcmost2,intrinsic_13
intrinsic_14,intrinsic_15
pate_02,mcfiller1
age,mcfiller2
mood_01,mcfiller2
mood_02,mcfiller2
major,mcfiller2
big5_01,mcfiller2
big5_02,mcfiller2
big5_03,mcfiller2
big5_04,mcfiller2
big5_05,mcfiller2
big5_06,mcfiller2
big5_07,mcfiller2
big5_08,mcfiller2
big5_09,mcfiller2
big5_10,mcfiller2
highpower,mcfiller2
intrinsic_04,mcfiller2
intrinsic_06,mcfiller2
intrinsic_07,mcfiller2
intrinsic_09,mcfiller2
intrinsic_10,mcfiller2
intrinsic_11,mcfiller2
intrinsic_12,mcfiller2
intrinsic_13,mcfiller2
intrinsic_14,mcfiller2
intrinsic_15,mcfiller2
lowpower,mcfiller2
mcfiller1,mcfiller2
mcfiller3,mcfiller2
mcmost1,mcfiller2
mcmost2,mcfiller2
mcmost3,mcfiller2
mcmost4,mcfiller2
mcmost5,mcfiller2
mcsome1,mcfiller2
mcsome2,mcfiller2
mcsome3,mcfiller2
mcsome5,mcfiller2
pate_01,mcfiller2
pate_02,mcfiller2
pate_03,mcfiller2
pate_04,mcfiller2
pate_05,mcfiller2
stress_01,mcfiller2
stress_02,mcfiller2
stress_03,mcfiller2
stress_04,mcfiller2
nfc_03,mcfiller2
nfc_04,mcfiller2
nfc_05,mcfiller2
nfc_06,mcfiller2
tempest2,mcfiller2
tempest3,mcfiller2
big5_02,mcfiller3
intrinsic_03,mcdv1
age,pate_03
mood_01,pate_03
mood_02,pate_03
major,pate_03
big5_01,pate_03
big5_02,pate_03
big5_03,pate_03
big5_04,pate_03
big5_05,pate_03
big5_06,pate_03
big5_07,pate_03
big5_08,pate_03
big5_09,pate_03
big5_10,pate_03
highpower,pate_03
intrinsic_01,pate_03
intrinsic_02,pate_03
intrinsic_03,pate_03
intrinsic_04,pate_03
intrinsic_05,pate_03
intrinsic_06,pate_03
intrinsic_07,pate_03
intrinsic_08,pate_03
intrinsic_09,pate_03
intrinsic_10,pate_03
intrinsic_11,pate_03
intrinsic_12,pate_03
intrinsic_13,pate_03
intrinsic_14,pate_03
intrinsic_15,pate_03
lowpower,pate_03
mcfiller1,pate_03
mcfiller2,pate_03
mcfiller3,pate_03
mcmost1,pate_03
mcmost2,pate_03
mcmost3,pate_03
mcmost4,pate_03
mcmost5,pate_03
mcsome1,pate_03
mcsome2,pate_03
mcsome3,pate_03
mcsome4,pate_03
mcsome5,pate_03
mcdv1,pate_03
mcdv2,pate_03
pate_01,pate_03
pate_02,pate_03
pate_04,pate_03
pate_05,pate_03
stress_01,pate_03
stress_02,pate_03
stress_03,pate_03
stress_04,pate_03
nfc_01,pate_03
nfc_02,pate_03
nfc_03,pate_03
nfc_04,pate_03
nfc_05,pate_03
nfc_06,pate_03
tempest1,pate_03
tempest2,pate_03
tempest3,pate_03
age,pate_04
mood_01,pate_04
mood_02,pate_04
major,pate_04
big5_01,pate_04
big5_02,pate_04
big5_03,pate_04
big5_04,pate_04
big5_05,pate_04
big5_06,pate_04
big5_07,pate_04
big5_08,pate_04
big5_09,pate_04
big5_10,pate_04
highpower,pate_04
intrinsic_01,pate_04
intrinsic_02,pate_04
intrinsic_03,pate_04
intrinsic_04,pate_04
intrinsic_05,pate_04
